"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",145.829709,15.275189,21.5,"Paracanthurus hepatus"
"gbif",145.827313,15.276654,9.7,"Paracanthurus hepatus"
"gbif",145.827313,15.276654,9.6,"Paracanthurus hepatus"
"gbif",145.800695,15.281291,11,"Paracanthurus hepatus"
"gbif",145.831907,15.268836,19.4,"Paracanthurus hepatus"
"gbif",145.831907,15.268836,20,"Paracanthurus hepatus"
"gbif",145.814629,15.256714,5.3,"Paracanthurus hepatus"
"gbif",145.814629,15.256714,5.5,"Paracanthurus hepatus"
"gbif",145.696294,15.116363,7.2,"Paracanthurus hepatus"
"gbif",145.696294,15.116363,8.8,"Paracanthurus hepatus"
"gbif",145.674234,15.003307,21.6,"Paracanthurus hepatus"
"gbif",145.651723,14.934944,17.05,"Paracanthurus hepatus"
"gbif",145.651723,14.934944,15,"Paracanthurus hepatus"
"gbif",119.711425,-8.636633,NA,"Paracanthurus hepatus"
"gbif",145.813721,17.591924,19.5,"Paracanthurus hepatus"
"gbif",119.571757,-8.459459,NA,"Paracanthurus hepatus"
"gbif",116.051098,-8.349183,NA,"Paracanthurus hepatus"
"gbif",152.430167,-23.890883,NA,"Paracanthurus hepatus"
"gbif",151.982417,-23.322967,NA,"Paracanthurus hepatus"
"gbif",115.5945,-8.2773,NA,"Paracanthurus hepatus"
"gbif",144.643855,13.230371,12,"Paracanthurus hepatus"
"gbif",144.643855,13.230371,11.4,"Paracanthurus hepatus"
"gbif",157.992092,-8.5054,NA,"Paracanthurus hepatus"
"gbif",152.714019,-24.11288,NA,"Paracanthurus hepatus"
"gbif",115.606941,-8.289789,NA,"Paracanthurus hepatus"
"gbif",145.588333,-14.529133,NA,"Paracanthurus hepatus"
"gbif",55.83662,-21.16069,NA,"Paracanthurus hepatus"
"gbif",159.0539,-29.4475,NA,"Paracanthurus hepatus"
"gbif",145.438106,-14.681537,NA,"Paracanthurus hepatus"
"gbif",32.688,-27.5299,NA,"Paracanthurus hepatus"
"gbif",32.678787,-27.538681,NA,"Paracanthurus hepatus"
"gbif",71.252283,-6.456933,NA,"Paracanthurus hepatus"
"gbif",153.3898,-29.9304,NA,"Paracanthurus hepatus"
"gbif",153.2658,-30.2023,NA,"Paracanthurus hepatus"
"gbif",73.45,5.55,NA,"Paracanthurus hepatus"
"gbif",155.5672,-23.2479,NA,"Paracanthurus hepatus"
"gbif",153.5212,-21.8517,NA,"Paracanthurus hepatus"
"gbif",153.5376,-21.8973,NA,"Paracanthurus hepatus"
"gbif",155.7636,-21.248,NA,"Paracanthurus hepatus"
"gbif",154.3453,-20.9767,NA,"Paracanthurus hepatus"
"gbif",148.5035,-17.8275,NA,"Paracanthurus hepatus"
"gbif",125.723,11.0303,NA,"Paracanthurus hepatus"
"gbif",119.605963,-8.583764,NA,"Paracanthurus hepatus"
"gbif",149.9904,-16.9316,NA,"Paracanthurus hepatus"
"gbif",123.0039,-12.217,NA,"Paracanthurus hepatus"
"gbif",55.5304,-21.36521,NA,"Paracanthurus hepatus"
"gbif",55.54547,-21.372,NA,"Paracanthurus hepatus"
"gbif",55.54613,-21.37126,NA,"Paracanthurus hepatus"
"gbif",179.099206,-17.092612,NA,"Paracanthurus hepatus"
"gbif",118.931987,4.500861,NA,"Paracanthurus hepatus"
"gbif",179.125162,-17.100688,NA,"Paracanthurus hepatus"
"gbif",-176.486644,0.194956,7,"Paracanthurus hepatus"
"gbif",-176.488814,0.190741,10,"Paracanthurus hepatus"
"gbif",-176.486695,0.19548,12.5,"Paracanthurus hepatus"
